,0,1,2,3,4
0,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/mMsP5xcWgq #TreCru https://t.co/KwQcvU9Lt6",N/A,N/A,Fri May 13 13:16:38 +0000 2016,731110909783998464
1,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/sblSwzhzQi #TreCru https://t.co/7MXUTGgDra",N/A,N/A,Fri May 13 13:16:38 +0000 2016,731110909339262976
2,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/knolEzGsop #TreCru https://t.co/FacZcVZOyk",N/A,N/A,Fri May 13 13:16:38 +0000 2016,731110906030116864
3,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/Q3E76DUBLt #TreCru https://t.co/shF7hTGmeB",N/A,N/A,Fri May 13 13:16:37 +0000 2016,731110905560375297
4,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/u0pzPVpxjd #TreCru https://t.co/4JJMM3jASW",N/A,N/A,Fri May 13 13:16:37 +0000 2016,731110904767631360
5,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/tHNlVSzBpU #TreCru https://t.co/DmHBcSIBzy",N/A,N/A,Fri May 13 13:16:37 +0000 2016,731110903379267584
6,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/TKQze2qly1 #TreCru https://t.co/fGvsLpBDOa",N/A,N/A,Fri May 13 13:16:37 +0000 2016,731110901953220611
7,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/hHFGPAiWH5 #TreCru https://t.co/wFtz86IODE",N/A,N/A,Fri May 13 13:16:36 +0000 2016,731110901340905473
8,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/MmPzAWUemV #TreCru https://t.co/T0mH7JL7Ph",N/A,N/A,Fri May 13 13:16:36 +0000 2016,731110901026193408
9,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/LOWCXqYEUS #TreCru https://t.co/ri7vTTCndh",N/A,N/A,Fri May 13 13:16:36 +0000 2016,731110900980154368
10,"RT @SanctuaryAsia: 'Grandchildren are dear, but #elephants are the dearest of them all.'
- Moran tribal saying
https://t.co/5TEjhPyFjd http",N/A,N/A,Fri May 13 13:16:36 +0000 2016,731110897561808896
11,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/ZWHHn4C8sA #TreCru https://t.co/5otKfwiIMn",N/A,N/A,Fri May 13 13:16:35 +0000 2016,731110895259156480
12,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/xTp0bAgYGr #TreCru https://t.co/DysxVhQ95m",N/A,N/A,Fri May 13 13:16:35 +0000 2016,731110893812088834
13,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/ZxJEt9Ymoj #TreCru https://t.co/F9NfQUatsk",N/A,N/A,Fri May 13 13:16:34 +0000 2016,731110891001921536
14,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/zINmryIQE4 #TreCru https://t.co/mJPyElwBsH",N/A,N/A,Fri May 13 13:16:34 +0000 2016,731110889601007616
15,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/8Xk4i8UBkt #TreCru https://t.co/4dsiAOyme4",N/A,N/A,Fri May 13 13:16:33 +0000 2016,731110888913178629
16,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/0kP6JIn9ns #TreCru https://t.co/QozAdJPqHJ",N/A,N/A,Fri May 13 13:16:32 +0000 2016,731110884135817216
17,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/ujTmVjT8fB #TreCru https://t.co/uyo7nWXyrU",N/A,N/A,Fri May 13 13:16:32 +0000 2016,731110883447967744
18,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/ylMULNfZ4C #TreCru https://t.co/FBiJVwnn8L",N/A,N/A,Fri May 13 13:16:30 +0000 2016,731110874962788355
19,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/q0MsQLmvP3 #TreCru https://t.co/7gaS7cnmHN",N/A,N/A,Fri May 13 13:16:29 +0000 2016,731110872295321600
20,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/IYIQHGjn7U #TreCru https://t.co/RenkMmc2cr",N/A,N/A,Fri May 13 13:16:29 +0000 2016,731110871750090754
21,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/cTRwJOhUFR #TreCru https://t.co/YWuC8RLIiC",N/A,N/A,Fri May 13 13:16:28 +0000 2016,731110864858714113
22,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/39Y7bKpaHu #TreCru https://t.co/h3w3gCuhfe",N/A,N/A,Fri May 13 13:16:28 +0000 2016,731110864212897792
23,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/CZGW75pQU8 #TreCru https://t.co/B7XAFbduzA",N/A,N/A,Fri May 13 13:16:28 +0000 2016,731110863935938563
24,"Giants_Newz. New York Giants Victor Cruz discusses return, draft crit - Yardbarker https://t.co/veIfDDAYoK",N/A,N/A,Fri May 13 13:16:26 +0000 2016,731110856721895424
25,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/CIpFlnde1D #TreCru https://t.co/djtBwyNiGy",N/A,N/A,Fri May 13 13:16:23 +0000 2016,731110846433099778
26,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/FaMK7B90bR #TreCru https://t.co/THDXpx2xmB",N/A,N/A,Fri May 13 13:16:23 +0000 2016,731110844810051584
27,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/9tHextdy6v #TreCru https://t.co/Ji4cyzeU1w",N/A,N/A,Fri May 13 13:16:22 +0000 2016,731110839755755520
28,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/xvOSvTPqg3 #TreCru https://t.co/nmvQ0cPwvW",N/A,N/A,Fri May 13 13:16:21 +0000 2016,731110838166278144
29,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/jQ3M8Pzaka #TreCru https://t.co/FPNN7ChMFT",N/A,N/A,Fri May 13 13:16:21 +0000 2016,731110837721673728
30,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/TKQze2qly1 #TreCru https://t.co/uaWEy68Tmh",N/A,N/A,Fri May 13 13:16:21 +0000 2016,731110836043939840
31,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/mpos0ZAF8I #TreCru https://t.co/WEnObv76ce",N/A,N/A,Fri May 13 13:16:20 +0000 2016,731110833011314689
32,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/NTA6AJ7KkH #TreCru https://t.co/VLduizEYbD",N/A,N/A,Fri May 13 13:16:20 +0000 2016,731110831581188097
33,These white kids at my schools are giants about to knock me over ,N/A,N/A,Fri May 13 13:16:19 +0000 2016,731110828183674881
34,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/lb5fVideT1 #TreCru https://t.co/wo28b3UWhw",N/A,N/A,Fri May 13 13:16:16 +0000 2016,731110813751214080
35,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/G3vsYe50sf #TreCru https://t.co/4OCG3SPcLV",N/A,N/A,Fri May 13 13:16:15 +0000 2016,731110811087802368
36,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/493JYiz3Bp #TreCru https://t.co/oScHGcmWbG",N/A,N/A,Fri May 13 13:16:14 +0000 2016,731110806956335104
37,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/GSxt3ynXOb #TreCru https://t.co/Fj8bwXocCS",N/A,N/A,Fri May 13 13:16:14 +0000 2016,731110806818000896
38,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/PProwpkYiI #TreCru https://t.co/ygGItRMeDs",N/A,N/A,Fri May 13 13:16:14 +0000 2016,731110806633492480
39,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/XGA1HEPMZm #TreCru https://t.co/uNS1EoJsH8",N/A,N/A,Fri May 13 13:16:13 +0000 2016,731110804951470080
40,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/77PduOUrFS #TreCru https://t.co/PKug1i2gYd",N/A,N/A,Fri May 13 13:16:13 +0000 2016,731110801306750976
41,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/2XKoQY5j60 #TreCru https://t.co/3t2fT2GOC7",N/A,N/A,Fri May 13 13:16:12 +0000 2016,731110799251398661
42,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/oWTxXVpnK0 #TreCru https://t.co/1uF8j88zQY",N/A,N/A,Fri May 13 13:16:12 +0000 2016,731110797829677056
43,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/6or70Mq1eR #TreCru https://t.co/DcZoReOXjU",N/A,N/A,Fri May 13 13:16:09 +0000 2016,731110787058532357
44,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/dJsubhtZj6 #TreCru https://t.co/EeBx6fTtbA",N/A,N/A,Fri May 13 13:16:09 +0000 2016,731110785439682560
45,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/TfRGZPwwmI #TreCru https://t.co/w6K5JJFQTl",N/A,N/A,Fri May 13 13:16:08 +0000 2016,731110783837458433
46,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/UNll5sWy4D #TreCru https://t.co/55um1P4GfO",N/A,N/A,Fri May 13 13:16:08 +0000 2016,731110783262818304
47,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/NXrt4mKzft #TreCru https://t.co/7qurZoRy6S",N/A,N/A,Fri May 13 13:16:08 +0000 2016,731110780171616256
48,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/tH5BqgpYvo #TreCru https://t.co/QreipbqFT6",N/A,N/A,Fri May 13 13:16:07 +0000 2016,731110778238058497
49,"Bryan Stow, attacked for being a baseball fan, finds his new calling - CNN https://t.co/ePqrItuttm",N/A,N/A,Fri May 13 13:16:07 +0000 2016,731110777105457154
50,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/2xe02I8TiL #TreCru https://t.co/IAoHs43Ni2",N/A,N/A,Fri May 13 13:16:07 +0000 2016,731110775960547328
51,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/2pBtioINwr #TreCru https://t.co/wctDQMdLRd",N/A,N/A,Fri May 13 13:16:05 +0000 2016,731110769681555456
52,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/tzmidYzBHT #TreCru https://t.co/N9kyyiQMtB",N/A,N/A,Fri May 13 13:16:05 +0000 2016,731110769518104576
53,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/wQjBe3D9xy #TreCru https://t.co/RxcCWQTXWb",N/A,N/A,Fri May 13 13:16:05 +0000 2016,731110768561803264
54,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/zXOlpM6KWn #TreCru https://t.co/prfxS3MbXG",N/A,N/A,Fri May 13 13:16:01 +0000 2016,731110752816365568
55,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/Tss1z2jByb #TreCru https://t.co/bkDgnEUNVS",N/A,N/A,Fri May 13 13:16:00 +0000 2016,731110749918138369
56,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/8IyAKjJcpP #TreCru https://t.co/gUFGRRAHz5",N/A,N/A,Fri May 13 13:16:00 +0000 2016,731110749775515648
57,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/6wi4LlhBQd #TreCru https://t.co/JuBppARO2c",N/A,N/A,Fri May 13 13:16:00 +0000 2016,731110749087670272
58,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/DTTTlipci9 #TreCru https://t.co/TB0p6uBFoF",N/A,N/A,Fri May 13 13:15:59 +0000 2016,731110744847065092
59,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/DEwihT4aEP #TreCru https://t.co/f3IRW4pEt3",N/A,N/A,Fri May 13 13:15:59 +0000 2016,731110743345639425
60,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/CDSir3QPyB #TreCru https://t.co/PRYHB7vOxR",N/A,N/A,Fri May 13 13:15:59 +0000 2016,731110743098167296
61,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/KnzTeg0pZN #TreCru https://t.co/HDDFbcwfeR",N/A,N/A,Fri May 13 13:15:59 +0000 2016,731110742997516288
62,Let's Play Mortgage loans Part 14 - Deacons of the Deep and Undead Giants #fakeheadlinebot #learntocode #makeatwitterbot #javascript,N/A,N/A,Fri May 13 13:15:58 +0000 2016,731110742112514048
63,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/lAQUursPwo #TreCru https://t.co/RjRojdDd2Z",N/A,N/A,Fri May 13 13:15:58 +0000 2016,731110741202325508
